EventId,event_name,event_date,fighter_1,fighter_2,winner
1149,UFC Fight Night: Strickland vs. Magomedov,2023-07-01T20:00Z,Kevin Lee,Rinat Fakhretdinov,Rinat Fakhretdinov
1149,UFC Fight Night: Strickland vs. Magomedov,2023-07-01T20:00Z,Joanderson Brito,Westin Wilson,Joanderson Brito
1149,UFC Fight Night: Strickland vs. Magomedov,2023-07-01T20:00Z,Yana Santos,Karol Rosa,Karol Rosa
1149,UFC Fight Night: Strickland vs. Magomedov,2023-07-01T20:00Z,Guram Kutateladze,Elves Brener,Elves Brener
1149,UFC Fight Night: Strickland vs. Magomedov,2023-07-01T20:00Z,Ivana Petrovic,Luana Carolina,Luana Carolina
1149,UFC Fight Night: Strickland vs. Magomedov,2023-07-01T20:00Z,Alexandr Romanov,Blagoy Ivanov,Alexandr Romanov
1150,UFC Fight Night: Aspinall vs. Tybura,2023-07-22T16:00Z,Tom Aspinall,Marcin Tybura,Tom Aspinall
1150,UFC Fight Night: Aspinall vs. Tybura,2023-07-22T16:00Z,Molly McCann,Julija Stoliarenko,Julija Stoliarenko
1150,UFC Fight Night: Aspinall vs. Tybura,2023-07-22T16:00Z,Nathaniel Wood,Andre Fili,Nathaniel Wood
1150,UFC Fight Night: Aspinall vs. Tybura,2023-07-22T16:00Z,Paul Craig,Andre Muniz,Paul Craig
1150,UFC Fight Night: Aspinall vs. Tybura,2023-07-22T16:00Z,Jai Herbert,Fares Ziam,Fares Ziam
1150,UFC Fight Night: Aspinall vs. Tybura,2023-07-22T16:00Z,Lerone Murphy,Josh Culibao,Lerone Murphy
1150,UFC Fight Night: Aspinall vs. Tybura,2023-07-22T16:00Z,Davey Grant,Daniel Marcos,Daniel Marcos
1150,UFC Fight Night: Aspinall vs. Tybura,2023-07-22T16:00Z,Danny Roberts,Jonny Parsons,Jonny Parsons
1150,UFC Fight Night: Aspinall vs. Tybura,2023-07-22T16:00Z,Marc Diakiese,Joel Alvarez,Joel Alvarez
1150,UFC Fight Night: Aspinall vs. Tybura,2023-07-22T16:00Z,Mick Parkin,Jamal Pogues,Mick Parkin
1150,UFC Fight Night: Aspinall vs. Tybura,2023-07-22T16:00Z,Makhmud Muradov,Bryan Barberena,Makhmud Muradov
1150,UFC Fight Night: Aspinall vs. Tybura,2023-07-22T16:00Z,Ketlen Vieira,Pannie Kianzad,Ketlen Vieira
1150,UFC Fight Night: Aspinall vs. Tybura,2023-07-22T16:00Z,Chris Duncan,Yanal Ashmouz,Chris Duncan
1150,UFC Fight Night: Aspinall vs. Tybura,2023-07-22T16:00Z,Shauna Bannon,Bruna Brasil,Bruna Brasil
1150,UFC Fight Night: Aspinall vs. Tybura,2023-07-22T16:00Z,Jafel Filho,Daniel Barez,Jafel Filho
1151,UFC 294: Makhachev vs. Volkanovski 2,2023-10-21T14:00Z,Islam Makhachev,Alexander Volkanovski,Islam Makhachev
1151,UFC 294: Makhachev vs. Volkanovski 2,2023-10-21T14:00Z,Kamaru Usman,Khamzat Chimaev,Khamzat Chimaev
1151,UFC 294: Makhachev vs. Volkanovski 2,2023-10-21T14:00Z,Magomed Ankalaev,Johnny Walker,Draw
1151,UFC 294: Makhachev vs. Volkanovski 2,2023-10-21T14:00Z,Ikram Aliskerov,Warlley Alves,Ikram Aliskerov
1151,UFC 294: Makhachev vs. Volkanovski 2,2023-10-21T14:00Z,Said Nurmagomedov,Muin Gafurov,Said Nurmagomedov
1151,UFC 294: Makhachev vs. Volkanovski 2,2023-10-21T14:00Z,Tim Elliott,Muhammad Mokaev,Muhammad Mokaev
1151,UFC 294: Makhachev vs. Volkanovski 2,2023-10-21T14:00Z,Mohammad Yahya,Trevor Peek,Trevor Peek
1151,UFC 294: Makhachev vs. Volkanovski 2,2023-10-21T14:00Z,Javid Basharat,Victor Henry,Draw
1151,UFC 294: Makhachev vs. Volkanovski 2,2023-10-21T14:00Z,Abu Azaitar,Sedriques Dumas,Sedriques Dumas
1151,UFC 294: Makhachev vs. Volkanovski 2,2023-10-21T14:00Z,Mike Breeden,Anshul Jubli,Mike Breeden
1151,UFC 294: Makhachev vs. Volkanovski 2,2023-10-21T14:00Z,Nathaniel Wood,Muhammad Naimov,Muhammad Naimov
1151,UFC 294: Makhachev vs. Volkanovski 2,2023-10-21T14:00Z,Viktoriia Dudakova,Jinh Yu Frey,Viktoriia Dudakova
1151,UFC 294: Makhachev vs. Volkanovski 2,2023-10-21T14:00Z,Shara Magomedov,Bruno Silva,Shara Magomedov
1154,UFC Fight Night: Holm vs. Bueno Silva,2023-07-15T23:00Z,Holly Holm,Mayra Bueno Silva,Draw
1154,UFC Fight Night: Holm vs. Bueno Silva,2023-07-15T23:00Z,Jack Della Maddalena,Bassil Hafez,Jack Della Maddalena
1154,UFC Fight Night: Holm vs. Bueno Silva,2023-07-15T23:00Z,Ottman Azaitar,Francisco Prado,Francisco Prado
1154,UFC Fight Night: Holm vs. Bueno Silva,2023-07-15T23:00Z,Albert Duraev,JunYong Park,JunYong Park
1154,UFC Fight Night: Holm vs. Bueno Silva,2023-07-15T23:00Z,Norma Dumont,Chelsea Chandler,Norma Dumont
1154,UFC Fight Night: Holm vs. Bueno Silva,2023-07-15T23:00Z,Nazim Sadykhov,Terrance McKinney,Nazim Sadykhov
1154,UFC Fight Night: Holm vs. Bueno Silva,2023-07-15T23:00Z,Tucker Lutz,Melsik Baghdasaryan,Melsik Baghdasaryan
1154,UFC Fight Night: Holm vs. Bueno Silva,2023-07-15T23:00Z,Viktoriia Dudakova,Istela Nunes,Viktoriia Dudakova
1154,UFC Fight Night: Holm vs. Bueno Silva,2023-07-15T23:00Z,Austin Lingo,Melquizael Costa,Melquizael Costa
1154,UFC Fight Night: Holm vs. Bueno Silva,2023-07-15T23:00Z,Evan Elder,Genaro Valdez,Evan Elder
1154,UFC Fight Night: Holm vs. Bueno Silva,2023-07-15T23:00Z,Tyson Nam,Azat Maksum,Azat Maksum
1154,UFC Fight Night: Holm vs. Bueno Silva,2023-07-15T23:00Z,Alexander Munoz,Carl Deaton,Alexander Munoz
1154,UFC Fight Night: Holm vs. Bueno Silva,2023-07-15T23:00Z,Ashlee Evans-Smith,Ailin Perez,Ailin Perez
1155,UFC 291: Poirier vs. Gaethje 2,2023-07-29T23:00Z,Dustin Poirier,Justin Gaethje,Justin Gaethje
1155,UFC 291: Poirier vs. Gaethje 2,2023-07-29T23:00Z,Jan Blachowicz,Alex Pereira,Alex Pereira
1155,UFC 291: Poirier vs. Gaethje 2,2023-07-29T23:00Z,Derrick Lewis,Marcos Rogerio de Lima,Derrick Lewis
1155,UFC 291: Poirier vs. Gaethje 2,2023-07-29T23:00Z,Tony Ferguson,Bobby Green,Bobby Green
1155,UFC 291: Poirier vs. Gaethje 2,2023-07-29T23:00Z,Michael Chiesa,Kevin Holland,Kevin Holland
1155,UFC 291: Poirier vs. Gaethje 2,2023-07-29T23:00Z,Gabriel Bonfim,Trevin Giles,Gabriel Bonfim
1155,UFC 291: Poirier vs. Gaethje 2,2023-07-29T23:00Z,CJ Vergara,Vinicius Salvador,CJ Vergara
1155,UFC 291: Poirier vs. Gaethje 2,2023-07-29T23:00Z,Roman Kopylov,Claudio Ribeiro,Roman Kopylov
1155,UFC 291: Poirier vs. Gaethje 2,2023-07-29T23:00Z,Jake Matthews,Darrius Flowers,Jake Matthews
1155,UFC 291: Poirier vs. Gaethje 2,2023-07-29T23:00Z,Matthew Semelsberger,Uros Medic,Uros Medic
1155,UFC 291: Poirier vs. Gaethje 2,2023-07-29T23:00Z,Miranda Maverick,Priscila Cachoeira,Miranda Maverick
1156,UFC 292: Sterling vs. O'Malley,2023-08-19T22:30Z,Aljamain Sterling,Sean O'Malley,Sean O'Malley
1156,UFC 292: Sterling vs. O'Malley,2023-08-19T22:30Z,Zhang Weili,Amanda Lemos,Zhang Weili
1156,UFC 292: Sterling vs. O'Malley,2023-08-19T22:30Z,Neil Magny,Ian Machado Garry,Ian Machado Garry
1156,UFC 292: Sterling vs. O'Malley,2023-08-19T22:30Z,Da'Mon Blackshear,Mario Bautista,Mario Bautista
1156,UFC 292: Sterling vs. O'Malley,2023-08-19T22:30Z,Marlon Vera,Pedro Munhoz,Marlon Vera
1156,UFC 292: Sterling vs. O'Malley,2023-08-19T22:30Z,Chris Weidman,Brad Tavares,Brad Tavares
1156,UFC 292: Sterling vs. O'Malley,2023-08-19T22:30Z,Gregory Rodrigues,Denis Tiuliulin,Gregory Rodrigues
1156,UFC 292: Sterling vs. O'Malley,2023-08-19T22:30Z,Kurt Holobaugh,Austin Hubbard,Kurt Holobaugh
1156,UFC 292: Sterling vs. O'Malley,2023-08-19T22:30Z,Brad Katona,Cody Gibson,Brad Katona
1156,UFC 292: Sterling vs. O'Malley,2023-08-19T22:30Z,Andre Petroski,Gerald Meerschaert,Andre Petroski
1156,UFC 292: Sterling vs. O'Malley,2023-08-19T22:30Z,Andrea Lee,Natalia Silva,Natalia Silva
1156,UFC 292: Sterling vs. O'Malley,2023-08-19T22:30Z,Karine Silva,Maryna Moroz,Karine Silva
1157,UFC Fight Night: Luque vs. Dos Anjos,2023-08-12T20:00Z,Vicente Luque,Rafael Dos Anjos,Vicente Luque
1157,UFC Fight Night: Luque vs. Dos Anjos,2023-08-12T20:00Z,Cub Swanson,Hakeem Dawodu,Cub Swanson
1157,UFC Fight Night: Luque vs. Dos Anjos,2023-08-12T20:00Z,Khalil Rountree Jr.,Chris Daukaus,Khalil Rountree Jr.
1157,UFC Fight Night: Luque vs. Dos Anjos,2023-08-12T20:00Z,Polyana Viana,Iasmin Lucindo,Iasmin Lucindo
1157,UFC Fight Night: Luque vs. Dos Anjos,2023-08-12T20:00Z,AJ Dobson,Tafon Nchukwi,AJ Dobson
1157,UFC Fight Night: Luque vs. Dos Anjos,2023-08-12T20:00Z,Josh Fremd,Jamie Pickett,Josh Fremd
1157,UFC Fight Night: Luque vs. Dos Anjos,2023-08-12T20:00Z,JP Buys,Marcus McGhee,Marcus McGhee
1157,UFC Fight Night: Luque vs. Dos Anjos,2023-08-12T20:00Z,Terrance McKinney,Mike Breeden,Terrance McKinney
1157,UFC Fight Night: Luque vs. Dos Anjos,2023-08-12T20:00Z,Francis Marshall,Isaac Dulgarian,Isaac Dulgarian
